"Code INSEE","Code Postal",Commune,Département,Région,Statut,"Altitude Moyenne",Superficie,Population,geo_point_2d,geo_shape,"ID Geogla","Code Commune","Code Canton","Code Arrondissement","Code Département","Code Région"
30119,30170,FRESSAC,GARD,LANGUEDOC-ROUSSILLON,"Commune simple",249.0,595.0,0.1,"43.9964171524, 3.9209656443","{""type"": ""Polygon"", ""coordinates"": [[[3.925468340209044, 43.98663313942251], [3.907667570402515, 43.98509025075514], [3.904160966489303, 43.987207398571094], [3.904745957757581, 44.006787612921585], [3.908283462403387, 44.00888242790996], [3.94351633082133, 44.00154578686023], [3.938074021778254, 43.98907287151873], [3.925468340209044, 43.98663313942251]]]}",19366,119,31,3,30,91
91338,91470,LIMOURS,ESSONNE,ILE-DE-FRANCE,"Chef-lieu canton",162.0,1408.0,6.5,"48.6465432324, 2.08125663662","{""type"": ""Polygon"", ""coordinates"": [[[2.042622551407064, 48.62636848191561], [2.041608810036469, 48.62689107317577], [2.060206515496853, 48.64616382182387], [2.050568907839649, 48.65286101249124], [2.053903210778219, 48.65917532987829], [2.063153792327551, 48.66200098603353], [2.089052174295692, 48.66182392598183], [2.097108850220393, 48.666292926329604], [2.099304161505992, 48.66025569267583], [2.119636139507747, 48.65189801691855], [2.11500709407599, 48.646250604509405], [2.122501799043737, 48.63888480108845], [2.117932133813971, 48.63781657732498], [2.10328073032663, 48.640567763297284], [2.086642404613325, 48.6326332593819], [2.061166738494923, 48.62820727126177], [2.051182784867032, 48.63024213291169], [2.042622551407064, 48.62636848191561]]]}",22589,338,13,3,91,11
50280,50570,LOZON,MANCHE,BASSE-NORMANDIE,"Commune simple",31.0,899.0,0.3,"49.1456506116, -1.27192528021","{""type"": ""Polygon"", ""coordinates"": [[[-1.255224743744586, 49.12532344788635], [-1.259324727127448, 49.12329638860395], [-1.272831859340624, 49.12787728072356], [-1.272329187230262, 49.131262669328315], [-1.288766113863451, 49.14367029402226], [-1.307777734869588, 49.141396941021426], [-1.297282848414762, 49.1573134713172], [-1.287960767545854, 49.16012224927551], [-1.288515447460115, 49.15406084203566], [-1.282997779048653, 49.14926028052284], [-1.265786675213104, 49.15443696849145], [-1.255356786755058, 49.16448541939582], [-1.241708908255195, 49.16230236978656], [-1.252193743753877, 49.14972316010331], [-1.260054963778122, 49.1413414727959], [-1.255224743744586, 49.12532344788635]]]}",3755,280,21,4,50,25
08117,08270,CHESNOIS-AUBONCOURT,ARDENNES,CHAMPAGNE-ARDENNE,"Commune simple",143.0,476.0,0.2,"49.5610454523, 4.56741706583","{""type"": ""Polygon"", ""coordinates"": [[[4.561261868801008, 49.54739008634301], [4.557588952952413, 49.55382821739287], [4.544865864982458, 49.55940195862493], [4.541185134350186, 49.561992500482255], [4.561605645386251, 49.56551566474973], [4.573735522585173, 49.57666651651723], [4.58407232106225, 49.572999628045736], [4.578207830049677, 49.56117519457594], [4.583496664804773, 49.549852511247224], [4.574266770818965, 49.551617532578284], [4.561261868801008, 49.54739008634301]]]}",17941,117,19,2,08,21
84079,84390,MONIEUX,VAUCLUSE,"PROVENCE-ALPES-COTE D'AZUR","Commune simple",795.0,4765.0,0.3,"44.0568668171, 5.34149223081","{""type"": ""Polygon"", ""coordinates"": [[[5.349753152042586, 44.00603185130967], [5.337891183089596, 44.01214759929366], [5.32377744801718, 44.014816374856245], [5.313762763658571, 44.022285786152494], [5.312012830073037, 44.04219446182207], [5.306394783998462, 44.06497612977334], [5.29894710322329, 44.089272806872195], [5.303230215699388, 44.09508957600655], [5.322489404610693, 44.0970690470004], [5.36019775636374, 44.090734332716075], [5.388783784330288, 44.07201566822526], [5.390241538784807, 44.068661234391946], [5.381788374551093, 44.05228652781288], [5.375083264988477, 44.04718276172243], [5.358048410293815, 44.01446111454857], [5.349753152042586, 44.00603185130967]]]}",4147,079,20,3,84,93
25500,25440,RONCHAUX,DOUBS,FRANCHE-COMTE,"Commune simple",458.0,522.0,0.1,"47.0427610393, 5.90349548517","{""type"": ""Polygon"", ""coordinates"": [[[5.913198074358392, 47.02550735820754], [5.900607274779322, 47.02927505103369], [5.889229928011461, 47.0397409165735], [5.890279774533066, 47.046300437356116], [5.890275248246167, 47.05531883569019], [5.878721159112756, 47.0598957984619], [5.918939015950439, 47.051264439070316], [5.913198074358392, 47.02550735820754]]]}",27946,500,22,1,25,43
23001,23150,AHUN,CREUSE,LIMOUSIN,"Chef-lieu canton",450.0,3395.0,1.6,"46.0861690765, 2.02430101436","{""type"": ""Polygon"", ""coordinates"": [[[2.01786207294434, 46.05545151818366], [2.011368882572655, 46.05975381853549], [2.000069852662185, 46.065049138496896], [1.986648448578271, 46.06674016506446], [1.986543575973339, 46.07733887224769], [1.97649052532555, 46.08906404691108], [1.977400267440989, 46.09581748063656], [1.98653607304279, 46.09458460506131], [1.997998892067886, 46.10058506715523], [2.011692611568608, 46.12448889456636], [2.014851083485912, 46.12819061689283], [2.023559302428821, 46.126491730042375], [2.028920200152425, 46.12143154617824], [2.035989307072336, 46.11785353847101], [2.046909875926242, 46.10643665061482], [2.054172654319427, 46.08992720530328], [2.06783313048963, 46.07587454343892], [2.074054992529323, 46.05987764976197], [2.069869999709615, 46.056448321237696], [2.067413817268409, 46.059408983436064], [2.044184728325923, 46.06216042504501], [2.036769213092984, 46.0578920886256], [2.01786207294434, 46.05545151818366]]]}",946,001,01,2,23,74
12213,12620,SAINT-BEAUZELY,AVEYRON,MIDI-PYRENEES,"Chef-lieu canton",768.0,3092.0,0.5,"44.1692617514, 2.96666926692","{""type"": ""Polygon"", ""coordinates"": [[[3.007700767180915, 44.15220238633568], [2.998712558829838, 44.14394005910775], [2.980264833065816, 44.139816009826184], [2.965853935417933, 44.13998348059873], [2.942364213493403, 44.15717388701145], [2.936540710813769, 44.166054372977385], [2.914137917501238, 44.17936025732448], [2.917261274086997, 44.181729867665226], [2.902718624396288, 44.19408508874402], [2.931116249308942, 44.1950246741632], [2.94786150129514, 44.18851729073294], [2.960944106264699, 44.19151100588483], [2.963500328507442, 44.18496828021804], [2.978813723701877, 44.1767995806494], [2.986692143611906, 44.18010410770261], [2.982887996276603, 44.1864221483105], [2.99017991797983, 44.190437414631454], [3.012209339740962, 44.19003213696463], [3.008955237217185, 44.1797895215052], [3.007700767180915, 44.15220238633568]]]}",1806,213,31,1,12,73
32123,32200,ESCORNEBOEUF,GERS,MIDI-PYRENEES,"Commune simple",173.0,2577.0,0.5,"43.6455146384, 0.911624650166","{""type"": ""Polygon"", ""coordinates"": [[[0.945487165183282, 43.62472071638168], [0.941337310622182, 43.62296802646111], [0.908444429143511, 43.62594030059572], [0.904877288131987, 43.628274849414034], [0.911829444385532, 43.64119006874548], [0.910394295230116, 43.64451988316874], [0.901265586204686, 43.643668947258725], [0.887344246696723, 43.63464121782064], [0.840421023841191, 43.640983017131504], [0.837655441821947, 43.64628380013325], [0.84147944644704, 43.65797149877814], [0.857187252007086, 43.650028010515335], [0.881329862552016, 43.649502038884215], [0.900568648825276, 43.65999255368176], [0.903928154967239, 43.670174721600965], [0.91448940583691, 43.66449097795913], [0.927588692004744, 43.66227509409268], [0.933739393274194, 43.670502153875404], [0.941897657033699, 43.667083401031014], [0.94082067116212, 43.66116729965321], [0.954290189752911, 43.6513044023308], [0.967514152935961, 43.64718696837185], [0.966078286186396, 43.642938692533825], [0.954322755091208, 43.63302415157601], [0.945393277770659, 43.63114555332905], [0.945487165183282, 43.62472071638168]]]}",10500,123,09,1,32,73
66107,66460,MAURY,PYRENEES-ORIENTALES,LANGUEDOC-ROUSSILLON,"Commune simple",244.0,3465.0,0.9,"42.8152827939, 2.61292653306","{""type"": ""Polygon"", ""coordinates"": [[[2.67379430984281, 42.78627362001853], [2.641160860592177, 42.79248163828539], [2.626905107667211, 42.79175858617395], [2.61682414079989, 42.79860184893909], [2.593822035981977, 42.799982872829915], [2.569369776154746, 42.80245917064705], [2.558602258898982, 42.84550596449556], [2.572402645882446, 42.843367710319946], [2.600078606739377, 42.8365953208341], [2.638411484947845, 42.83408763748352], [2.638172690266558, 42.82730671399631], [2.659785629862015, 42.814464766695046], [2.665309158176684, 42.80123693195712], [2.680218821987598, 42.78792049564235], [2.67379430984281, 42.78627362001853]]]}",28920,107,15,2,66,91
