"Code INSEE","Code Postal",Commune,Département,Région,Statut,"Altitude Moyenne",Superficie,Population,geo_point_2d,geo_shape,"ID Geogla","Code Commune","Code Canton","Code Arrondissement","Code Département","Code Région"
50582,50150,SOURDEVAL,MANCHE,BASSE-NORMANDIE,"Chef-lieu canton",236.0,3694.0,2.8,"48.7134467987, -0.891882166303","{""type"": ""Polygon"", ""coordinates"": [[[-0.843942653668392, 48.688422274953396], [-0.849400986721957, 48.68884943270071], [-0.85558648705379, 48.69415166880551], [-0.865999984529331, 48.69535422985149], [-0.87913580432483, 48.69034368047117], [-0.895022232589942, 48.68996958391662], [-0.944774375537999, 48.70125621713538], [-0.963757611442753, 48.707578880451756], [-0.965680863525208, 48.71086504544465], [-0.951022123291021, 48.714062452353026], [-0.954973581448814, 48.7238285814662], [-0.950844897006046, 48.72520820526928], [-0.941096263946296, 48.72390980050866], [-0.927072626696053, 48.72692997751274], [-0.920434296054774, 48.73568541385434], [-0.896494810972663, 48.74089136136854], [-0.881082501667998, 48.73906149207842], [-0.862508353052319, 48.7268683196497], [-0.852126418395636, 48.725808345380734], [-0.842413101540045, 48.72846297182734], [-0.83181657014194, 48.72966835976686], [-0.827158003178863, 48.72832314380081], [-0.837216954485025, 48.71314181767394], [-0.834209289879513, 48.703315076389636], [-0.843942653668392, 48.688422274953396]]]}",601,582,43,1,50,25
51508,51320,SAINT-OUEN-DOMPROT,MARNE,CHAMPAGNE-ARDENNE,"Commune simple",150.0,4750.0,0.2,"48.6138855668, 4.39297037267","{""type"": ""Polygon"", ""coordinates"": [[[4.413048624258241, 48.584740880319586], [4.366855959751337, 48.598001601384304], [4.35265541328146, 48.60064685468082], [4.349655698625386, 48.59793696579777], [4.33083329084727, 48.60181945087492], [4.314917546995118, 48.616219579393814], [4.331287427370847, 48.629820026824646], [4.329321058592316, 48.63629228036767], [4.347414397369863, 48.642089478394375], [4.382167871021197, 48.64060281487039], [4.402526699689133, 48.636937279521426], [4.417601931000796, 48.62722264827719], [4.448869639347631, 48.6262166296974], [4.473026365886415, 48.61898393687977], [4.460145759677085, 48.604271114955104], [4.45783551084596, 48.590480426031355], [4.446994277504498, 48.58587141858681], [4.424866072604705, 48.589962036271466], [4.413048624258241, 48.584740880319586]]]}",9936,508,26,4,51,21
24555,24390,TOURTOIRAC,DORDOGNE,AQUITAINE,"Commune simple",185.0,2627.0,0.6,"45.2725889625, 1.05559610435","{""type"": ""Polygon"", ""coordinates"": [[[1.0376335907398, 45.24325267917954], [1.045270056344983, 45.25163697077432], [1.029945247771554, 45.25914102992749], [1.03296191161255, 45.268345380082316], [1.030071587718122, 45.27108669991127], [1.007784122618791, 45.2686561619073], [0.999777118886239, 45.27246736334395], [1.015362527190774, 45.27864480183237], [1.029945383825071, 45.290900207188514], [1.037454548186712, 45.29435586090303], [1.047720438754137, 45.3025698746608], [1.068179150160008, 45.29412512834761], [1.086480122294044, 45.2903685403864], [1.086952563783892, 45.277721792956555], [1.082394119291486, 45.271906258775836], [1.095652999250384, 45.263909533414015], [1.083347443525194, 45.24640588369009], [1.070307005463385, 45.24594729651531], [1.067796360613116, 45.24885820754989], [1.053347940900098, 45.24890471282416], [1.0376335907398, 45.24325267917954]]]}",14153,555,13,3,24,72
08425,08250,SOMMERANCE,ARDENNES,CHAMPAGNE-ARDENNE,"Commune simple",192.0,513.0,0.0,"49.3263866648, 4.99327810692","{""type"": ""Polygon"", ""coordinates"": [[[5.009309057321387, 49.3211563891175], [4.973733380779274, 49.3174808441454], [4.962926867221294, 49.323753504421454], [4.980144987688153, 49.32864279308883], [4.983840099445314, 49.33743914711735], [5.004041437661327, 49.333931588673614], [5.025878535205169, 49.32589715514929], [5.009309057321387, 49.3211563891175]]]}",25502,425,12,4,08,21
85010,85440,AVRILLE,VENDEE,"PAYS DE LA LOIRE","Commune simple",37.0,2554.0,1.2,"46.4744272125, -1.49524360118","{""type"": ""Polygon"", ""coordinates"": [[[-1.460840403627709, 46.47796132968292], [-1.458546991426713, 46.46812108585981], [-1.471192686921642, 46.44613417453863], [-1.485013685737489, 46.44728738091256], [-1.496330040403333, 46.446066394256405], [-1.520189021513362, 46.45827395601127], [-1.523168134060538, 46.47168494704543], [-1.537406807127181, 46.47493512554055], [-1.536942442820624, 46.481745199280724], [-1.513430104238009, 46.499588086997306], [-1.48999370099835, 46.503957039212054], [-1.470869583847253, 46.49327108942304], [-1.470244906579377, 46.47992943139222], [-1.460840403627709, 46.47796132968292]]]}",27032,010,30,3,85,52
40120,40300,HASTINGUES,LANDES,AQUITAINE,"Commune simple",24.0,1455.0,0.6,"43.5160536898, -1.13714325683","{""type"": ""Polygon"", ""coordinates"": [[[-1.132980452772056, 43.49970454200118], [-1.137624475939135, 43.49940120397609], [-1.140708712717476, 43.48965240527903], [-1.145124008401404, 43.48859166195512], [-1.153755013811126, 43.49620743652667], [-1.165673819806841, 43.491272200156956], [-1.169662278341566, 43.49302881011903], [-1.169835664218928, 43.49712147564631], [-1.171824824916217, 43.505252647964866], [-1.164920317699099, 43.508356213501976], [-1.137533536964331, 43.509648363898776], [-1.131022552428237, 43.51395094063049], [-1.134033509489813, 43.520178812462504], [-1.153997748437462, 43.52933526365584], [-1.159515551238246, 43.538665019196344], [-1.150797338583583, 43.53644932764111], [-1.13991752667907, 43.54237012374251], [-1.114216829104616, 43.540284919565345], [-1.120061982790226, 43.5323418710121], [-1.107330249051166, 43.51431969098344], [-1.116329043611658, 43.503428459026125], [-1.132980452772056, 43.49970454200118]]]}",7714,120,16,1,40,72
64526,64420,SOUMOULOU,PYRENEES-ATLANTIQUES,AQUITAINE,"Commune simple",284.0,281.0,1.4,"43.2616113493, -0.192918125557","{""type"": ""Polygon"", ""coordinates"": [[[-0.206810972048228, 43.25213715200207], [-0.209001509195828, 43.25299034911769], [-0.19686357956798, 43.271995173715254], [-0.175764088139451, 43.26225551929138], [-0.183310623196292, 43.25703682629923], [-0.191779150118069, 43.25448213835808], [-0.200447239433438, 43.256647289862684], [-0.206810972048228, 43.25213715200207]]]}",12983,526,32,3,64,72
64215,64390,ESPIUTE,PYRENEES-ATLANTIQUES,AQUITAINE,"Commune simple",102.0,403.0,0.1,"43.3544908357, -0.914707993249","{""type"": ""Polygon"", ""coordinates"": [[[-0.911759565246854, 43.344039707042434], [-0.921962733827867, 43.34834469695504], [-0.930739559844382, 43.35614140854242], [-0.927693786950031, 43.362701255953155], [-0.919233204193758, 43.36372880235051], [-0.910410041117327, 43.36305743123813], [-0.8992230638137, 43.353364490529465], [-0.899621036432854, 43.348306220158], [-0.911759565246854, 43.344039707042434]]]}",25169,215,38,2,64,72
22126,22800,"LE LESLAY",COTES-D'ARMOR,BRETAGNE,"Commune simple",224.0,510.0,0.1,"48.4240369028, -2.96496738118","{""type"": ""Polygon"", ""coordinates"": [[[-2.968647999277612, 48.40851469959155], [-2.981960710768622, 48.42520174417117], [-2.983103644963417, 48.431775393104566], [-2.96794617349518, 48.43582424268602], [-2.942413504910454, 48.428861984121816], [-2.954970826479287, 48.41874897487048], [-2.953300099471403, 48.4126257653661], [-2.9621865155944, 48.412710864039916], [-2.968647999277612, 48.40851469959155]]]}",16330,126,41,4,22,53
81284,81990,"LE SEQUESTRE",TARN,MIDI-PYRENEES,"Commune simple",182.0,555.0,1.6,"43.9105402335, 2.10655664211","{""type"": ""Polygon"", ""coordinates"": [[[2.12376696626308, 43.900952097325884], [2.075425597205263, 43.90845552216447], [2.089819440941133, 43.916847469517904], [2.117867430004663, 43.918652588920196], [2.130133098814305, 43.913647945402964], [2.12376696626308, 43.900952097325884]]]}",27587,284,38,1,81,73
