"Code INSEE","Code Postal",Commune,Département,Région,Statut,"Altitude Moyenne",Superficie,Population,geo_point_2d,geo_shape,"ID Geogla","Code Commune","Code Canton","Code Arrondissement","Code Département","Code Région"
11364,11300,SAINT-POLYCARPE,AUDE,LANGUEDOC-ROUSSILLON,"Commune simple",399.0,1412.0,0.2,"43.0331548632, 2.30004919732","{""type"": ""Polygon"", ""coordinates"": [[[2.332906886823261, 43.00571391159123], [2.328870691645446, 43.01139090708742], [2.320116029197107, 43.01174066881039], [2.309911872056016, 43.01750376106405], [2.289690220702353, 43.03130389415586], [2.27715438681513, 43.026885300382155], [2.268318526520593, 43.027626063018275], [2.265258698640101, 43.034000008900875], [2.271087874225216, 43.04331259469964], [2.269462991111572, 43.053527998234664], [2.276196331585293, 43.057449997770156], [2.291311366157918, 43.05011231097481], [2.317315620356204, 43.04450609166362], [2.320326706373493, 43.04288821353558], [2.316801015692871, 43.033035363728125], [2.32029280294458, 43.0196564250199], [2.32729165155654, 43.01544628189532], [2.349708672688837, 43.012184409240646], [2.353757141236629, 43.00632683797618], [2.332906886823261, 43.00571391159123]]]}",7086,364,27,2,11,91
03008,03250,ARRONNES,ALLIER,AUVERGNE,"Commune simple",482.0,2598.0,0.4,"46.0520854633, 3.57527535836","{""type"": ""Polygon"", ""coordinates"": [[[3.55301182558185, 46.01525717265737], [3.548700752423593, 46.01584545046611], [3.552029357152302, 46.02940903425676], [3.547635346145638, 46.046450043225676], [3.554551545522181, 46.05516942001667], [3.532830613167704, 46.077426117712285], [3.537337107451853, 46.08704933546309], [3.544499605313465, 46.07456112187315], [3.563565020215789, 46.070136550999756], [3.596798324097198, 46.08523933749501], [3.608030017179999, 46.079254312085766], [3.610967162797537, 46.07341218873732], [3.608104673952965, 46.05676799837416], [3.598158200974582, 46.04967078836028], [3.600362463156712, 46.04663340265749], [3.58834082275929, 46.024183500690015], [3.577764498272205, 46.01784424017619], [3.554568576800508, 46.01839236000027], [3.55301182558185, 46.01525717265737]]]}",7233,008,18,3,03,83
2B185,20232,OLETTA,HAUTE-CORSE,CORSE,"Chef-lieu canton",211.0,2660.0,1.4,"42.6416261877, 9.33321314144","{""type"": ""Polygon"", ""coordinates"": [[[9.398234559171712, 42.62051761574615], [9.370845845402924, 42.61922528958799], [9.344244605946415, 42.62625825228082], [9.301527499982786, 42.62676029801298], [9.283021652726282, 42.66247583835485], [9.302435863804648, 42.66976470264125], [9.323752139412147, 42.6699925946951], [9.321919216102394, 42.66673681085442], [9.360380985310913, 42.63622035280598], [9.379037527689736, 42.63401531831519], [9.392237923151294, 42.63786164573332], [9.394510149003814, 42.63474890403934], [9.405586214583842, 42.62450527248389], [9.398234559171712, 42.62051761574615]]]}",25388,185,29,5,2B,94
89306,89200,PONTAUBERT,YONNE,BOURGOGNE,"Commune simple",195.0,389.0,0.4,"47.4929203838, 3.87144768521","{""type"": ""Polygon"", ""coordinates"": [[[3.875710634843154, 47.48204755841716], [3.856548596885336, 47.48455762729518], [3.854245120826356, 47.48750925487606], [3.862693891648378, 47.499176809146164], [3.880072239794209, 47.504214073938286], [3.886833057188712, 47.50173223480119], [3.88327797827827, 47.488363992526274], [3.873891939660083, 47.485338025113336], [3.875710634843154, 47.48204755841716]]]}",19233,306,05,2,89,26
65039,65240,ASPIN-AURE,HAUTES-PYRENEES,MIDI-PYRENEES,"Commune simple",1281.0,1220.0,0.1,"42.936099418, 0.327349916156","{""type"": ""Polygon"", ""coordinates"": [[[0.350056084545641, 42.93552415632105], [0.360147127118198, 42.92394932122482], [0.351230475245277, 42.916513487670926], [0.309837912320641, 42.9255263994045], [0.312650904641739, 42.93854512997001], [0.300502711278442, 42.94300062897564], [0.299855949802482, 42.95978426686554], [0.313406928307779, 42.956857487164], [0.350056084545641, 42.93552415632105]]]}",19353,039,02,2,65,73
57198,57660,ERSTROFF,MOSELLE,LORRAINE,"Commune simple",252.0,502.0,0.2,"48.980103423, 6.77594710498","{""type"": ""Polygon"", ""coordinates"": [[[6.768458708511259, 48.96969459750917], [6.755961562004622, 48.974435081574526], [6.765494068285953, 48.988971953564096], [6.762179755308262, 48.99137159154195], [6.775333524343464, 48.98846446631109], [6.788952388221061, 48.99082560232169], [6.795216375676897, 48.97471095497103], [6.768458708511259, 48.96969459750917]]]}",11971,198,14,3,57,41
2B101,20237,CROCE,HAUTE-CORSE,CORSE,"Commune simple",779.0,646.0,0.1,"42.4077831336, 9.35731368031","{""type"": ""Polygon"", ""coordinates"": [[[9.32577114043475, 42.39861508735371], [9.325858100774283, 42.40222583701644], [9.324162734922114, 42.404995816408835], [9.323629083168063, 42.41130361248784], [9.342074810861238, 42.4124052619982], [9.363713757547854, 42.418119163781164], [9.380662769730305, 42.40883409343127], [9.389029941308863, 42.40856608507635], [9.39190727524959, 42.40428096256199], [9.389069025902575, 42.39791362466073], [9.385466978338526, 42.399464692404905], [9.350535267052862, 42.40639055624956], [9.341528408688601, 42.40513368475898], [9.339388626000943, 42.40212323213004], [9.32577114043475, 42.39861508735371]]]}",26522,101,39,3,2B,94
18021,18210,BANNEGON,CHER,CENTRE,"Commune simple",193.0,2142.0,0.3,"46.8069473041, 2.7278310908","{""type"": ""Polygon"", ""coordinates"": [[[2.749332377027711, 46.77401424858262], [2.74061433008286, 46.77736240772523], [2.731705032496607, 46.77410951134322], [2.7185850873758, 46.792050146093146], [2.705368917513098, 46.79714030830605], [2.695274129588821, 46.7970059498484], [2.69031693636957, 46.79721780497727], [2.68945860482081, 46.80057397793428], [2.710249315708834, 46.83091750117303], [2.741184427721904, 46.83917577762575], [2.742833150878032, 46.83184131229843], [2.752751716409102, 46.82028404046945], [2.746579979285799, 46.80492790661585], [2.75786965357619, 46.79037481271261], [2.753925683225944, 46.78416268927839], [2.749332377027711, 46.77401424858262]]]}",12579,021,07,2,18,24
76363,76340,HODENG-AU-BOSC,SEINE-MARITIME,HAUTE-NORMANDIE,"Commune simple",127.0,880.0,0.6,"49.8719141783, 1.69787362739","{""type"": ""Polygon"", ""coordinates"": [[[1.682529134948689, 49.85292296295791], [1.680077445121461, 49.88056075093664], [1.697020248449404, 49.893329976228486], [1.706177599343284, 49.89144168787234], [1.712090195288649, 49.88640093370495], [1.711801110144029, 49.87416983001933], [1.718728415060922, 49.86570719985938], [1.72002509980656, 49.86166865892051], [1.702354474580466, 49.855309591849434], [1.682529134948689, 49.85292296295791]]]}",21359,363,05,1,76,23
21313,21290,GURGY-LE-CHATEAU,COTE-D'OR,BOURGOGNE,"Commune simple",390.0,1772.0,0.1,"47.8288662718, 4.92751897409","{""type"": ""Polygon"", ""coordinates"": [[[4.894046886892944, 47.811144713455455], [4.896179495183699, 47.81398209612208], [4.888273428342366, 47.82883807154619], [4.892102542564622, 47.834628031654496], [4.904687433187441, 47.85859615922053], [4.915535963878139, 47.847094288617846], [4.923916202470977, 47.843257035579356], [4.959092501859034, 47.830340869500226], [4.973256388719783, 47.8312016815088], [4.981802353844607, 47.829833146873106], [4.984281185566442, 47.82460555457709], [4.979535610712722, 47.81491762415399], [4.94462009391583, 47.82030062739397], [4.928181383622513, 47.813009847714035], [4.908099725716975, 47.81393268462728], [4.894046886892944, 47.811144713455455]]]}",3530,313,28,3,21,26
